職稱,公司名稱,要求工作經驗,要求學歷,所需技能
技術支援類: Application Engineer (Manufacturing Yield Management),"Synopsys Taiwan Co., Ltd._台灣新思科技股份有限公司",不拘,大學以上,不拘
"(Sr.) Financial Analyst, Media Finance ",台灣華特迪士尼股份有限公司,不拘,大學、碩士,不拘
Product Compliance Engineer - Taichung,台灣美光(台灣美光晶圓科技股份有限公司/台灣美光記憶體股份有限公司/美商美光亞太科技股份有限公司台灣分公司),不拘,大學、碩士,不拘
Principal/Senior System Engineer,Dialog Semiconductor_德商戴樂格半導體有限公司台灣分公司,7年以上,大學以上,不拘
Procurement Specialist,Philip Morris Taiwan S. A. Taiwan Branch_瑞士商菲利普莫里斯股份有限公司台灣分公司,5年以上,大學、碩士,不拘
"Senior Applications Engineer, Semiconductor",美商_國家儀器股份有限公司,不拘,大學以上,不拘
【業務專業】企業業務策略夥伴-高雄★,亞太電信股份有限公司,4年以上,大學以上,"['專案規劃執行╱範圍管理', '專案溝通╱整合管理', '專案管理架構及專案說明', '文書處理軟體操作']"
Graduate Mixed-signal Verification Engineer,Dialog Semiconductor_德商戴樂格半導體有限公司台灣分公司,不拘,碩士以上,不拘
製程工程師 (蝕刻Etch) (CE) (大陸-合肥),美商_科林研發股份有限公司_Lam Research,8年以上,碩士以上,不拘
Dynamics 365軟體工程師 (Software Developer – Dynamics 365),香港商宏焰有限公司,3年以上,專科、大學、碩士,不拘
技術工程類 - 無線通訊模組業務開發工程師【高雄】,日月光半導體製造股份有限公司,3年以上,大學、碩士,"['專案成本╱品質╱風險管理', '專案時間╱進度控管', '專案規劃執行╱範圍管理', '專案溝通╱整合管理', '協商談判能力', '國外業務開發']"
Territory Manager - Southeast Asia,笠毅工業股份有限公司,不拘,大學、碩士,不拘
JY-【2020新鮮人計畫】企業人才招募顧問/HR consultant(完整導師制一對一訓練/月薪+獎金制度),新加坡商立可人事顧問有限公司台灣分公司,不拘,大學,不拘
【趨勢科技】Order Management Specialist(35k~42K),怡東人事顧問股份有限公司,1年以上,大學以上,不拘
醫療儲備業務 (南區),銀鐸實業有限公司,不拘,專科、大學、碩士,不拘
Graduate Digital Verification Engineer,Dialog Semiconductor_德商戴樂格半導體有限公司台灣分公司,5年以上,碩士以上,不拘
<<永慶不動產南崁中正南竹店>>不動產營業員,永慶不動產林口文化三路加盟店_九逸不動產開發有限公司,不拘,高中以下、高中、專科、大學,不拘
106178 Product Manager (Embedded System Box PC),凌華科技股份有限公司,6年以上,專科、大學、碩士,不拘
Sourcing Executive,LARUS Cloud Service Limited,不拘,大學、碩士,不拘
Senior/Principal IT Applications Architect,Dialog Semiconductor_德商戴樂格半導體有限公司台灣分公司,不拘,大學以上,不拘
Senior/Principal Software Applications Engineer (Audio),Dialog Semiconductor_德商戴樂格半導體有限公司台灣分公司,不拘,大學以上,不拘
市場行銷專員(工作地點 :北京),Advantech_研華股份有限公司,2年以上,大學、碩士,不拘
主要客戶襄理 Associate Key Account Manager,台灣億滋股份有限公司,不拘,專科以上,不拘
課程顧問,外國語文中心_台北市私立史蒂芬外國語文短期補習班,不拘,專科以上,不拘
Senior Designer,志邦企業股份有限公司_YUMARK Group,5年以上,專科、大學、碩士,不拘
Application Specialist(CMTS),Sartorius_台灣莎多利斯斯泰迪股份有限公司,3年以上,大學以上,"['產品諮詢與服務', '製程相關技術開發', '客戶端技術服務業務']"
 Lead Data Manager,PRA Health Sciences_保瑞爾生技股份有限公司,不拘,大學以上,不拘
EDA performance benchmark consultant,台灣聯想環球科技股份有限公司,5年以上,大學以上,不拘
Recruitment Senior Specialist,A_Avantice Corporation,2年以上,大學以上,不拘
(Associate) Statistical Programming Manager (Taipei/China),IQVIA_艾昆緯股份有限公司,6年以上,大學以上,不拘
製程工程師 (蝕刻Etch) (DE) (大陸-合肥),美商_科林研發股份有限公司_Lam Research,8年以上,碩士以上,不拘
製程工程師 (薄膜沉積 Thin Film) (CE) (大陸-上海),美商_科林研發股份有限公司_Lam Research,8年以上,碩士以上,不拘
"Senior Field Applications Engineer, Semiconductor",美商_國家儀器股份有限公司,7年以上,大學以上,不拘
<<永慶不動產南崁中正南竹店>>高獎金營業員,永慶不動產林口文化三路加盟店_九逸不動產開發有限公司,不拘,高中以下、高中、專科、大學,不拘
Data Project Manager,威朋大數據股份有限公司,5年以上,碩士以上,不拘
Customer Technical Program Manager - Taipei ,NVIDIA_香港商輝達香港控股有限公司台灣分公司,8年以上,大學、碩士,不拘
西藥部 - 醫藥業務代表 -呼吸道 (南區),荷商葛蘭素史克藥廠股份有限公司台灣分公司,1年以上,大學、碩士,不拘
西藥部 - 醫藥業務代表 (北區),荷商葛蘭素史克藥廠股份有限公司台灣分公司,不拘,大學、碩士,不拘
Business Planning Analyst,Philip Morris Taiwan S. A. Taiwan Branch_瑞士商菲利普莫里斯股份有限公司台灣分公司,5年以上,大學、碩士,"['預算編製與成本控管', '專案時間╱進度控管', '專案規劃執行╱範圍管理', '核閱財務報表', '財務及營業分析', '財務報表製作', '審核年度預算', '市場調查企劃與執行', '市場調查資料分析與報告撰寫', '客戶資料更新維護', '業績目標分配與績效達成', '業績與管理報表撰寫']"
Product Marketing Manager (Taipei),茂達電子股份有限公司,10年以上,大學、碩士,不拘
西藥部 - Key Account Manager (北區),荷商葛蘭素史克藥廠股份有限公司台灣分公司,5年以上,大學以上,不拘
Marketing Manager(Bluetooth),瑞昱半導體股份有限公司,3年以上,大學以上,不拘
客戶開發專案副理P1,瑞昱半導體股份有限公司,5年以上,大學以上,產品介紹及解說銷售
Territory Executive (通路行銷專員) - 大台北區,Philip Morris Taiwan S. A. Taiwan Branch_瑞士商菲利普莫里斯股份有限公司台灣分公司,1年以上,專科、大學、碩士,不拘
Application Engineer,美商超微半導體股份有限公司台灣分公司,10年以上,大學以上,不拘
WiFi客戶支援應用工程師C1,瑞昱半導體股份有限公司,3年以上,大學、碩士,不拘
機器學習與資料工程師 Data / ML Engineer,美商圖策智能科技有限公司台灣分公司,2年以上,大學以上,不拘
Fixed Income and Multi-Asset Product Manager,台灣富時國際股份有限公司,不拘,大學,不拘
FAE Manager,美商賽發馥股份有限公司臺灣分公司,不拘,碩士,不拘
<<永慶不動產南崁中正南竹店>>高專人員,永慶不動產林口文化三路加盟店_九逸不動產開發有限公司,不拘,高中以下、高中、專科、大學,不拘
<<永慶不動產南崁中正南竹店>>業務新秀,永慶不動產林口文化三路加盟店_九逸不動產開發有限公司,不拘,高中以下、高中、專科、大學,不拘
Assistant Marketing Manager (1 year contract),美商鄧白氏股份有限公司台灣分公司,3年以上,碩士,不拘
Embedded Software Engineer - 新竹,美商迪爾亞科技股份有限公司台灣分公司_D2 Technologies Inc.,3年以上,大學以上,不拘
Web Application Developer,羅技電子股份有限公司,1年以上,大學以上,不拘
資深CAD專案經理,巨有科技股份有限公司,5年以上,大學以上,不拘
Sr. Sales,原盛科技股份有限公司,5年以上,大學、碩士,不拘
Sales : Sr. Area Account Supervisor (資深區域業務發展主任),安麗日用品股份有限公司,3年以上,大學、碩士,不拘
高階業務主管,瀚誼世界科技股份有限公司,10年以上,大學以上,不拘
國內業務專員,松橋科技股份有限公司,不拘,專科、大學、碩士,"['客戶資料更新維護', '業務或通路開發', '業績目標分配與績效達成']"
SA1074 Product Manager Personal Assistant,華碩電腦股份有限公司,2年以上,大學、碩士,不拘
Fulltime Corporate English Training Instructor,EIE美語_美好國際企業管理顧問有限公司,3年以上,大學以上,不拘
事業部總經理BU Head,亞利安紙業股份有限公司,10年以上,大學以上,不拘
[Server]業務主管(桃園),Inventec_英業達股份有限公司,10年以上,大學、碩士,不拘
D30300-資深業務主任/副理(歐洲區),啟碁科技股份有限公司,5年以上,大學、碩士,不拘
外銷業務員,亞利安紙業股份有限公司,不拘,大學以上,不拘
Community Associate 社群業務專員 (英商雷格斯REGUS商務中心),Regus Taiwan_台北雷格斯商務服務有限公司,2年以上,專科、大學、碩士,不拘
菲語內勤人員(新北市)Philippine - Office Clerk(New Taipei City),全球集團_全球財務顧問有限公司,不拘,不拘,不拘
D0106 伺服器業務訂單管理師 (內湖),仁寶電腦工業股份有限公司,不拘,大學、碩士,不拘
美製淨水精品銷售顧問(高雄市)Water Filters Sales Representative,偉太健康科技有限公司,3年以上,高中以上,不拘
FAE工程師/Field Application Engineer(汐科)(代關係企業徵才),廣錠科技股份有限公司,5年以上,大學以上,不拘
A0256 伺服器FAE工程師,仁寶電腦工業股份有限公司,不拘,大學、碩士,不拘
SC01 智慧型裝置事業群-Business Sales Manager (昆山),仁寶電腦工業股份有限公司,5年以上,大學以上,不拘
SAP Senior Specialist/Project Manager(SD),明門實業股份有限公司,3年以上,大學、碩士,企業資源規劃管理(ERP)
J20000-FAE/TM (派駐南京),啟碁科技股份有限公司,8年以上,大學以上,不拘
E1J1-Account Sales/PM(ODM電源),康舒科技股份有限公司,不拘,大學、碩士,不拘
TutorMandarin B2C業務顧問,寰宇旅邦有限公司,2年以上,高中以上,不拘
Sales Operations Executive 業務營運專員 - C31,德商foodpanda_富胖達股份有限公司,不拘,專科、大學,不拘
(台北) PM & Inside Sales_Inductor & E-cap,國巨股份有限公司,3年以上,大學、碩士,不拘
"Product Manager, Dry Eye & Ocular Health - Vision Care","Alcon Services AG, Taiwan Branch_瑞士商愛爾康大藥廠股份有限公司台灣分公司",4年以上,大學、碩士,不拘
Sales or Business Development for Vietnam Market,聯發科技股份有限公司,2年以上,大學、碩士,不拘
Finance Supervisor ,"台灣賽默飛世爾科技股份有限公司 _Thermo Fisher Scientific Taiwan Co., Ltd.",5年以上,大學以上,不拘
Special Assistant_ Gaming / Medical(HsinChu),友達光電股份有限公司,10年以上,大學以上,不拘
產品導入顧問(20052101A),叡揚資訊股份有限公司,5年以上,大學,不拘
Req. # 200032581 CIB – Cash Equity Agency Trader – Associate ,摩根大通證券股份有限公司,3年以上,大學、碩士,不拘
國外業務(Key Account Sales ),精英電腦股份有限公司,5年以上,大學以上,不拘
專業技師(新竹區)Professional Technicians,偉太健康科技有限公司,2年以上,不拘,不拘
HsinChu-Account Executive (業務專員),台灣創先電子有限公司,3年以上,專科、大學、碩士,不拘
Sales Representative (南區業務代表),西藥_羅氏大藥廠股份有限公司,2年以上,專科、大學、碩士,不拘
國外行銷業務專員 (近嘉藥大學),富樂夢股份有限公司,2年以上,大學、碩士,"['行銷策略擬定', '顧客關係管理', '市場調查企劃與執行', '熟悉進出口業務', '國際貿易基本概念', '客戶資料更新維護', '國外業務開發', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫', '廣告業務銷售能力']"
Field Application Engineer (FAE)-Firmware,微驅科技股份有限公司,1年以上,大學,不拘
業務發展區經理,利凌企業股份有限公司,5年以上,大學以上,不拘
行銷企劃 Marketing Executive,偉太健康科技有限公司,5年以上,大學以上,不拘
General Solution Architect  / Solution Project Senior Engineer,創意電子股份有限公司,6年以上,大學、碩士,不拘
(大社廠)Product Marketing,國巨股份有限公司,3年以上,碩士,不拘
平面設計師Graphic Designer,偉太健康科技有限公司,不拘,不拘,不拘
"B602-資深產品企劃工程師 (Network Security/Business Wireless, ISPD)",D-Link_友訊科技股份有限公司,3年以上,大學以上,不拘
業務助理(工作地點:台北新店)(20000074),立錡科技股份有限公司,5年以上,大學,不拘
Mainfreight - Sales Executive ( 高雄 ),邁輝國際物流有限公司,3年以上,專科、大學、碩士,不拘
Pre-Sales Engineer,馬來西亞商飛碼科技股份有限公司台灣分公司,2年以上,大學、碩士,不拘
產品經理 Product Manager (EE related),美商微視科技股份有限公司,5年以上,大學、碩士,"['產品或零件測試驗證', '產品結構評估', '產品量產導入計劃', '產品開發預算與成本控管', '產品試產檢討', '新產品研發與測試', '製作工程樣品與管理', '電子電路設計']"
品牌行銷主管,達方電子股份有限公司,10年以上,大學以上,"['品牌行銷管理', '公關活動規劃與執行']"
Channel Sales Manager(based in Vietnam),D-Link_友訊科技股份有限公司,3年以上,大學以上,不拘
Channel Sales Manager(based in Indonesia),D-Link_友訊科技股份有限公司,3年以上,大學以上,不拘
Channel Sales Manager(based in Philippines),D-Link_友訊科技股份有限公司,3年以上,大學以上,不拘
越南分公司業務人員,弘技化學股份有限公司,不拘,大學,不拘
Christian Dior 高級珠寶暨腕表精品銷售顧問_台北地區,Christian Dior Couture_香港商克麗絲汀迪奧有限公司台灣分公司,2年以上,專科、大學、碩士,不拘
D0305 機構採購Sourcer(NB產品),仁寶電腦工業股份有限公司,2年以上,專科、大學、碩士,不拘
美製淨水精品銷售顧問(高雄南區)Water Filters Sales Representative,偉太健康科技有限公司,3年以上,高中以上,不拘
In-house Service Engineer,Sartorius_台灣莎多利斯斯泰迪股份有限公司,3年以上,大學以上,"['電工圖識圖與繪圖', '電工儀表裝置使用', '電機設備測試', '機務維修保養', '機械產品故障排除檢修', '機械產品操作', '組合裝配機件及安裝與校驗機械', '設備器材使用及維護']"
工業電腦主機板PM,威強電工業電腦股份有限公司,不拘,大學、碩士,不拘
資深技師(中區)Professional Technicians,偉太健康科技有限公司,2年以上,不拘,不拘
Inside Sales Executive - FAI,台灣創先電子有限公司,不拘,大學以上,不拘
業務管理師(南投),環鴻科技股份有限公司,不拘,大學以上,不拘
D0104 NB Sales Account Manager(內湖),仁寶電腦工業股份有限公司,3年以上,大學以上,不拘
業務儲備幹部/銷售經理（浙江）,永誠亞太有限公司,8年以上,大學、碩士,不拘
數位多媒體網路_資深產品規劃工程師,明泰科技股份有限公司,3年以上,大學、碩士,"['提案與簡報技巧', '行銷策略擬定', '產品開發預算與成本控管', '市場調查資料分析與報告撰寫']"
店主任/店經理/店副理( 台中 ),HUGO BOSS_香港商雨果博斯香港有限公司台灣分公司,5年以上,高中、專科、大學,不拘
行銷專員- Marketing specialist,威強電工業電腦股份有限公司,1年以上,大學以上,不拘
PM/SALES專案管理(資深)專員_IOT(土城/新竹),鴻海精密工業股份有限公司,5年以上,大學以上,不拘
108037 Product Sales Manager (PSM),凌華科技股份有限公司,6年以上,大學、碩士,不拘
業務 / 業務開發 ( Sales ) ( 1 年以上 ),威許移動股份有限公司,不拘,大學以上,不拘
公共型顯示器_業務工程師(新竹廠),友達光電股份有限公司,1年以上,大學、碩士,不拘
視訊產品高級/資深專員(PM),宏正自動科技股份有限公司,5年以上,大學、碩士,不拘
[德商] PLM_Commercial Manager (APAC) (Taipei),ENERCON Taiwan Ltd._台灣艾納康有限公司,2年以上,大學、碩士,不拘
e-Commerce Manager,CCILU INTERNATIONAL INC_馳綠國際股份有限公司,3年以上,大學,不拘
"動力控制產品經理 (Technology Consultant, PC, IC, Safety)",台灣洛克威爾國際股份有限公司,不拘,大學、碩士,不拘
PM產品企劃工程師/T170(林口),致茂電子股份有限公司,2年以上,大學、碩士,不拘
營運管理類 - 業務發展經理【上海】,日月光半導體製造股份有限公司,8年以上,大學以上,不拘
Overseas marketing sales person(國外行銷業務),SHILLS_林荃企業有限公司,不拘,專科以上,不拘
(w)售前協銷技術顧問Pre-Sales-台北分公司,文偉股份有限公司,5年以上,大學以上,不拘
SENIOR CUSTOMER PRODUCT MANAGER (北京),鴻海精密工業股份有限公司,5年以上,大學以上,不拘
107093 Graphic Card Product Manager,凌華科技股份有限公司,8年以上,大學、碩士,不拘
外資法人業務經理 FINI Sales Manager,日盛金融控股股份有限公司,1年以上,大學以上,不拘
產品經理 Product Manager (ME background),美商微視科技股份有限公司,5年以上,大學、碩士,"['產品結構評估', '產品量產導入計劃', '產品開發預算與成本控管', '產品試產檢討', '新產品研發與測試', '製作工程樣品與管理', '提供樣品圖樣']"
AD10039 教育訓練人員,華碩電腦股份有限公司,3年以上,大學以上,不拘
SA20076 Business Controller 經營管理師(EMEA),華碩電腦股份有限公司,2年以上,大學以上,不拘
TA4118 資深工業設計工程師 (Input Device),致伸科技股份有限公司,3年以上,大學、碩士,不拘
南區-Sales Administration Supervisor訂單客服部主任,裕利股份有限公司,1年以上,專科、大學,不拘
Business Development Manager (Poland/Czech),晶睿通訊股份有限公司,3年以上,大學、碩士,"['國外業務開發', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫']"
Channel Sales Manager(based in Myanmar),D-Link_友訊科技股份有限公司,3年以上,大學以上,不拘
Channel Sales Manager(based in Thailand),D-Link_友訊科技股份有限公司,3年以上,大學以上,不拘
Channel Sales Manager(based in Cambodia),D-Link_友訊科技股份有限公司,3年以上,大學以上,不拘
SA20123 Business Controller (APAC),華碩電腦股份有限公司,2年以上,大學、碩士,不拘
投資諮詢顧問 Investment Consultant(高雄),星展(台灣)商業銀行股份有限公司,5年以上,大學、碩士,不拘
Senior Factory PM(派駐吳江),群光電能科技股份有限公司,8年以上,大學、碩士,不拘
(IPS2-B025 ) Sales/Account Manager,新漢股份有限公司,5年以上,大學,不拘
客房業務經理 Sales Manager (Business Department),台北君悅酒店/凱悅/GRAND HYATT TAIPEI_豐隆大飯店股份有限公司,3年以上,大學、碩士,"['國外業務開發', '業務或通路開發']"
Sales Coordinator / Marketing Planner,I-TEK_一德金屬工業股份有限公司,不拘,專科以上,"['提案與簡報技巧', '品牌知名度推廣', '產品開發預算與成本控管', '顧客關係管理', '市場調查企劃與執行', '市場調查資料分析與報告撰寫', '調查樣本統計分析', '國際貿易基本概念', '客戶資料更新維護', '國外業務開發', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫', '客戶情報蒐集', '客訴案件處理', '產品進銷存統計分析', '產品介紹及解說銷售']"
AD30050 應用系統前端開發工程師,華碩電腦股份有限公司,1年以上,大學以上,不拘
Software Engineer (軟體開發工程師),集佳股份有限公司,2年以上,專科以上,不拘
Fragrance Consultant [ 信義微風 ],潘海利根有限公司,2年以上,高中以上,不拘
Fragrance Consultant - Part Time [ 信義微風 ],潘海利根有限公司,不拘,不拘,不拘
[A]光電事業群-客戶工程師(華亞廠),穩懋半導體股份有限公司,3年以上,大學、碩士,不拘
Sales & Marketing Assistant,I-TEK_一德金屬工業股份有限公司,2年以上,專科以上,"['國際貿易基本概念', '客戶資料更新維護', '業績與管理報表撰寫', '客戶情報蒐集', '產品進銷存統計分析', '產品介紹及解說銷售', '技術文件翻譯']"
"Business development manager (Milwaukee, Wisconsin)",鴻海精密工業股份有限公司,5年以上,大學、碩士,不拘
Sales Support ,邁輝國際物流有限公司,3年以上,專科、大學,不拘
業務/專案管理(資深)專員_5G與寬頻影音(土城/新竹/韓國),鴻海精密工業股份有限公司,5年以上,大學以上,不拘
TFT glass / TN  glass /  TP glass / STN  glass /Quartz glass  /  Sales Executive.Sales Engineer,銳隆光電有限公司,不拘,不拘,不拘
矽晶圓 / 玻璃晶圓 /  矽晶圓鍍膜 / 銷售工程師  銷售主管,銳隆光電有限公司,不拘,不拘,不拘
TFT 液晶玻璃 / TN 玻璃/  TP 玻璃 / STN  玻璃 /石英玻璃  / 藍寶石  銷售主管 銷售工程師,銳隆光電有限公司,不拘,不拘,不拘
Silicon wafer / glass  wafer /  wafer coating / Product manager,銳隆光電有限公司,不拘,不拘,不拘
Inventory Specialist—Hyve Solutions,hyve solutions_海峰電腦股份有限公司,1年以上,專科、大學、碩士,不拘
Israel Local sales representative,威強電工業電腦股份有限公司,2年以上,大學以上,"['國際貿易基本概念', '國外業務開發']"
Sales Executive (熟網通產品),UL_優力國際安全認證有限公司,3年以上,大學、碩士,不拘
区域销售经理-检测控制  Region Sales Manager -Measurement & Controls,台灣貝克休斯股份有限公司,5年以上,大學以上,不拘
Trainer 講師– Hair Product,台灣萊雅股份有限公司,3年以上,不拘,不拘
Product Managment-EU＆USA Market,晨豐光電股份有限公司,不拘,專科以上,不拘
新事業部主管－智能醫學電腦系統開發主管,晉弘科技股份有限公司,10年以上,大學、碩士,不拘
Product Director (產品總監),行動貝果有限公司,3年以上,大學以上,不拘
Service Process Specialist/Engineer,法商蘇伊士水務股份有限公司台灣分公司,3年以上,專科、大學、碩士,不拘
Product Marketing Manager(Based in Singapore),D-Link_友訊科技股份有限公司,5年以上,大學、碩士,不拘
"Associate, Sales Account Management(KA-大润华/顶好)",台灣莊臣股份有限公司,3年以上,大學、碩士,不拘
專案經理(pre-sales)-B30B,精誠資訊股份有限公司,5年以上,大學以上,提案與簡報技巧
SA10186 Country Product Manager,華碩電腦股份有限公司,1年以上,大學、碩士,不拘
Southeast Asia Sales Rep 國外業務專員-東南亞區,全球安聯科技股份有限公司,3年以上,大學、碩士,行銷策略擬定
Streamer Recruiting Specialist 主播招募顧問,17直播_英屬維京群島商麻吉一七股份有限公司臺灣分公司,不拘,不拘,不拘
售後服務FAE(After sales service / Field Application Engineer)(新竹/印度),鴻海精密工業股份有限公司,不拘,大學以上,不拘
業務支援工程師(Pre-sales)(17082201A),叡揚資訊股份有限公司,3年以上,專科、大學、碩士,不拘
SA20125 Oversea Sales/PM (Korea),華碩電腦股份有限公司,3年以上,大學、碩士,不拘
E3J0-Server Power Supply Senior PM/Sales,康舒科技股份有限公司,2年以上,專科、大學、碩士,不拘
SA10166 Software/Product Planner (Gaming),華碩電腦股份有限公司,3年以上,碩士,不拘
國外業務人員 - 印度市場,弘技化學股份有限公司,2年以上,大學以上,不拘
Sales Representative-業務代表(高雄),王鼎科技有限公司,不拘,高中、專科、大學、碩士,不拘
Sales Representative-業務代表(北區),王鼎科技有限公司,2年以上,專科、大學、碩士,不拘
(Senior) Account Manager (Kantar Worldpanel China),模範市場研究顧問股份有限公司_Kantar Taiwan,4年以上,大學以上,不拘
MECHANICAL ENGINEER機械工程師(具環工/環保相關背景),奧地利商雅苒環保科技有限公司台灣分公司,5年以上,大學以上,不拘
(B)PM經理(東莞)-代海外子公司招募10809013,正崴精密工業股份有限公司,5年以上,大學以上,不拘
FAE技術工程師(簡報教育產品),圓展科技股份有限公司,3年以上,大學以上,不拘
Business Development Manager– Taiwan,飛斯妥股份有限公司,8年以上,大學以上,不拘
SA20080 Business Development Manager(IPC/IOT),華碩電腦股份有限公司,5年以上,大學、碩士,不拘
SA10170 Sales PM (IoT/IPC),華碩電腦股份有限公司,6年以上,大學、碩士,不拘
紐澳區業務經理-Lexar產品,台灣江波龍電子有限公司,5年以上,大學、碩士,不拘
系統規劃經理(醫療-技術支援),凌群電腦股份有限公司,5年以上,大學以上,不拘
Sales Representative-業務代表(台南),王鼎科技有限公司,2年以上,高中、專科、大學、碩士,不拘
(Sr.) Application Enginee  資深/技術支援工程師 -TC18142,"Super Micro Computer, Inc._美超微電腦股份有限公司",3年以上,大學以上,不拘
【Server】Channel sales_DACH【Germany】,神達電腦股份有限公司,8年以上,專科、大學、碩士,不拘
私人銀行客戶關係經理 Treasure Private Client Relationship Manager,星展(台灣)商業銀行股份有限公司,5年以上,專科以上,不拘
Account Manager - Building Solutions (中央監控系統整合事業處),漢威聯合股份有限公司,5年以上,專科以上,不拘
B類-Sales Manager (華東),德律科技股份有限公司,3年以上,大學、碩士,不拘
Head of Process Engineering / Plant Layout 方法工程部門經理,奧地利商雅苒環保科技有限公司台灣分公司,10年以上,大學以上,不拘
國外業務開發經理 豐原 BD Sales Manager,鼎碩創新股份有限公司,3年以上,大學、碩士,不拘
【台中】技術服務推廣(資深)工程師,矽品精密工業股份有限公司,2年以上,大學以上,不拘
T50000-軟體技術經理 (精通日文),啟碁科技股份有限公司,7年以上,大學以上,"['系統架構規劃', '軟體工程系統開發']"
Application Engineer_Tainan,卡爾蔡司股份有限公司,3年以上,大學、碩士,不拘
Automation Engineer-FPD,香港商奧寶科技有限公司台灣分公司(ORBOTECH PACIFIC LIMITED),3年以上,大學、碩士,不拘
Account Sales(W1900A),智邦科技股份有限公司,不拘,大學,不拘
【業務部】業務經理/主任/專員Sales Manager/Supervisor/Executive,義大皇家酒店股份有限公司,5年以上,大學以上,不拘
Sales Supervisor (南區資深業務),西藥_羅氏大藥廠股份有限公司,5年以上,大學、碩士,不拘
Customer Software PM,智影顧問股份有限公司,不拘,大學以上,不拘
B0532 Product Manager,仁寶電腦工業股份有限公司,10年以上,大學、碩士,不拘
業務企劃人員・営業,杰可榮新有限公司,不拘,專科、大學,不拘
KVM 企業產品高級/資深專員(PM),宏正自動科技股份有限公司,3年以上,大學、碩士,不拘
"40920_Assistant Account Manager, Display (TP/TN)",台灣康寧顯示玻璃股份有限公司,3年以上,大學、碩士,不拘
Licensing Manager,CCILU INTERNATIONAL INC_馳綠國際股份有限公司,5年以上,大學、碩士,不拘
國外業務助理 Sales Assistance,旺謹實業有限公司,3年以上,專科以上,"['文件收發與檔案管理', '文書處理╱排版能力', '行政事務處理', '報表彙整與管理', '電話接聽與人員接待事項', '文件或資料輸入建檔處理', '文件檔案資料處理、轉換及整合工作', '管理行事曆與會議協調安排', '負責文件更新、發行、審核與跟催作業', '顧客關係管理', '市場調查資料分析與報告撰寫', '調查樣本統計分析', '國際貿易基本概念', '作業系統基本操作']"
業務管理師,世界先進積體電路股份有限公司,2年以上,大學、碩士,不拘
銷售工程師  Sales Engineer-Industry Automation Sector,諾冠股份有限公司,不拘,大學、碩士,不拘
Solution Architecture Division - CPU Solutions Engineer/Manager I,晶心科技股份有限公司,不拘,大學以上,"['數位晶片產品開發', '數位電路驗證']"
Marketing Technical Manager_市場行銷技術經理,合肥晶合集成電路有限公司,10年以上,大學以上,不拘
SH-Senior Product Marketing,麗寶大數據股份有限公司,4年以上,大學以上,不拘
Trainer - Skincare 保養講師,台灣萊雅股份有限公司,2年以上,不拘,不拘
業務助理(Inside Sales)(W),日電貿股份有限公司,2年以上,專科、大學,不拘
Account Sales(BU2321),智邦科技股份有限公司,3年以上,大學、碩士,不拘
2020校園徵才專區【行銷業務類】- 海外業務專員I,東元電機股份有限公司,不拘,大學以上,"['業績目標分配與績效達成', '客戶情報蒐集', '客訴案件處理']"
[A]光電事業群-業務工程師(華亞廠),穩懋半導體股份有限公司,3年以上,大學、碩士,不拘
【2020 Management Associate Program 】-儲備幹部,法商法國巴黎人壽保險股份有限公司台灣分公司,2年以上,碩士以上,不拘
Software Quality Assurance Engineer (SQA),美商ID TECH台灣分公司_璟昇科技股份有限公司,2年以上,大學以上,不拘
【知名外商】 Operation Manager,ROBERT WALTERS_華德士股份有限公司,5年以上,大學、碩士,不拘
[Server]測試硬體研發專員(桃園),Inventec_英業達股份有限公司,1年以上,大學以上,不拘
總經理秘書,偉太健康科技有限公司,3年以上,大學以上,不拘
Marketing Manager (based in Southeast Asia),D-Link_友訊科技股份有限公司,5年以上,大學、碩士,不拘
【BPM】CAA資深專案管理師（深圳）,鴻海精密工業股份有限公司,4年以上,大學、碩士,不拘
Account Sales - Location: Tainan,台灣應用材料股份有限公司 _Applied Materials Taiwan,8年以上,大學、碩士,不拘
【ME】CAA自動化機構設計工程師(深圳),鴻海精密工業股份有限公司,5年以上,大學以上,不拘
ODM sales manager,捷濤有限公司,3年以上,大學、碩士,不拘
"Treasures Relationship Manager, CBG & WM (International Banking)",星展(台灣)商業銀行股份有限公司,3年以上,大學、碩士,不拘
Sales Engineer_業務工程師,飛斯妥股份有限公司,3年以上,大學以上,"['業務或通路開發', '業績目標分配與績效達成']"
Fragrance Consultant - Part Time [ 板橋大遠百 ],潘海利根有限公司,不拘,不拘,不拘
S.業務類-ERP/CRM 業務,資誠聯合會計師事務所,4年以上,大學以上,不拘
Microsoft 微軟 | Tele Sales 內勤銷售業務,博彥科技有限公司,不拘,大學以上,"['客戶資料更新維護', '業務或通路開發', '廣告業務銷售能力', '客戶情報蒐集', '產品介紹及解說銷售']"
專案經理 Project Manager,美商微視科技股份有限公司,5年以上,大學、碩士,不拘
汽車電子 專案管理(PM)專員/主任/副理,群光電子股份有限公司,3年以上,大學、碩士,不拘
Sr. Product Manager,英商鼎通盛股份有限公司台灣分公司,6年以上,大學以上,不拘
Field Service Engineer (Taipei),伊頓飛瑞慕品股份有限公司,3年以上,大學、碩士,不拘
