職稱,公司名稱,要求工作經驗,要求學歷,所需技能
Key Account Sales (TIC industry),BV。Bureau Veritas_法商法立德公證有限公司台灣分公司,5年以上,大學、碩士,"['專案溝通╱整合管理', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫', '客戶情報蒐集']"
Senior Technical Sales Manager ,雲端互動股份有限公司,2年以上,專科以上,不拘
國外業務人員 (OEM/ODM Sales support),薩摩亞商宸展科技有限公司台灣分公司,10年以上,專科、大學、碩士,"['熟悉進出口業務', '國際貿易基本概念', '國外業務開發', '業績與管理報表撰寫']"
【UK】Regional Sales Manager (Portugal),普安科技股份有限公司,10年以上,大學、碩士,"['國外業務開發', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫', '客戶情報蒐集']"
Key Accounts - Sales Supervisor,台灣嘉士伯貿易股份有限公司,2年以上,專科、大學,不拘
Sales/Product Marketing,志勇無限創意有限公司,不拘,專科以上,不拘
Sales manager,立特克科技股份有限公司,3年以上,大學以上,不拘
(Sales) Monitor Sales (駐日本),嘉捷科技企業股份有限公司,3年以上,大學、碩士,不拘
Sales Manager (French),ASUSTOR_華芸科技股份有限公司,不拘,大學以上,不拘
Sales Representative (  India   ),弘凱光電股份有限公司,3年以上,大學,"['行銷策略擬定', '市場調查資料分析與報告撰寫', '國外業務開發', '業務或通路開發', '業績與管理報表撰寫']"
Sales Manager (Italian),ASUSTOR_華芸科技股份有限公司,不拘,大學以上,不拘
Global Marketing & Sales Director,億康生物科技股份有限公司,2年以上,博士,不拘
Senior Product Sales ,諾威量測設備股份有限公司,5年以上,碩士以上,不拘
Field Sales Representative,香港商信可股份有限公司台灣分公司,3年以上,專科、大學、碩士,不拘
Sales Supervisor (新),鐿鈦科技股份有限公司,1年以上,大學以上,不拘
Sales Account Manager / Product Manager (995),"經緯智庫股份有限公司 (MGR Consulting Co., Ltd.)",不拘,大學以上,不拘
業務副理 Sales Assistant Manager (ODM/ OEM/ EMS),EDOM_益登科技股份有限公司,5年以上,專科以上,不拘
Area Sales Manager - C30,德商foodpanda_富胖達股份有限公司,5年以上,專科、大學、碩士,不拘
S100_BD Sales,嵩森科技股份有限公司,2年以上,大學、碩士,不拘
Vietnam Account sales_4124,技嘉科技股份有限公司,1年以上,大學,不拘
Assistant Sales Manager,昇達科技股份有限公司,7年以上,大學、碩士,不拘
Senior Sales /DCS/台北 高雄,ABB Ltd._艾波比股份有限公司,5年以上,大學以上,不拘
SM2271 國外業務(美國區) Sales Account Manager for USA Market,建騰創達科技股份有限公司,不拘,專科、大學、碩士,不拘
Sales Administration Specialist-Logistics,東育實業股份有限公司,1年以上,大學以上,"['貿易單據製作', '進出口作業流程控管', '熟悉進出口業務', '國際貿易基本概念']"
Lead Gen/Sales Enablement Senior Manager  資深行銷經理,新加坡商安富利股份有限公司台灣分公司,8年以上,大學,不拘
"Commercial Sales Specialist, Lab Solution Group (負責區域：南區)",新加坡商必帝股份有限公司台灣分公司,5年以上,大學以上,不拘
Sales PM(LES),英屬開曼群島商聯德投資控股股份有限公司,2年以上,專科、大學、碩士,不拘
Sales Representative (Corporate),新加坡商立可人事顧問有限公司台灣分公司,不拘,大學,不拘
Ad Sales,LINE Pay_連加網路商業股份有限公司,5年以上,大學、碩士,不拘
業務支援專員(Sales Operations Representative ),海盜船科技股份有限公司,3年以上,大學、碩士,不拘
"Product Sales Manager (Embedded Computing), ASEAN",Advantech_研華股份有限公司,5年以上,大學、碩士,不拘
【UK】Regional Sales Manager (DACH),普安科技股份有限公司,10年以上,大學、碩士,"['客戶資料更新維護', '國外業務開發', '業務或通路開發', '業績目標分配與績效達成']"
SE - Corporate Sales Recruiter,新加坡商立可人事顧問有限公司台灣分公司,不拘,大學,不拘
Sales Supervisor (北區資深業務),西藥_羅氏大藥廠股份有限公司,5年以上,大學、碩士,不拘
Sales Manager / 業務主管(板橋),香港商富日科技有限公司,3年以上,專科、大學、碩士,不拘
"Key Account Manager, Sales and Marketing (台北)",KUEHNE+NAGEL_台灣德迅國際運輸股份有限公司,5年以上,專科、大學、碩士,不拘
Power Module Sales & FAE,乾坤科技股份有限公司_台達電子集團,4年以上,大學、碩士,不拘
Regional Sales Manager,利凌企業股份有限公司,2年以上,大學以上,不拘
半導體外商 - Sr. Regional Sales Director,Morgan Philips Hong Kong Limited Taiwan Branch_香港商博禹國際顧問有限公司台灣分公司,10年以上,大學以上,不拘
International Sales Manager(工作地點: 林口),Advantech_研華股份有限公司,7年以上,大學、碩士,不拘
Sr Sales Manager (Digital Advertising Solution) - 數位廣告AE,台灣現觀股份有限公司,2年以上,專科以上,不拘
Sales Development Representative,美商浪橋科技股份有限公司_Splashtop Inc.,3年以上,專科、大學、碩士,不拘
通訊產品Account Sales - J1284,廣達電腦股份有限公司,2年以上,大學、碩士,不拘
China/India Overseas Account Sales/Account Manager(南港)-RSBU,神基科技股份有限公司,3年以上,大學以上,不拘
"Embedded Sector Sales Head (Tokyo, Japan)",Advantech_研華股份有限公司,10年以上,大學以上,不拘
"Regional sales Supervisor, Japan",弘凱光電股份有限公司,8年以上,大學以上,"['國外業務開發', '業績目標分配與績效達成']"
【UK】Regional Sales Manager (France),普安科技股份有限公司,10年以上,大學、碩士,"['國外業務開發', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫', '客戶情報蒐集']"
【UK】Regional Sales Manager (Spain),普安科技股份有限公司,10年以上,大學、碩士,"['國外業務開發', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫', '客戶情報蒐集']"
Business Development Executive/Manager – Air Logistics of Sales and Marketing (台北),KUEHNE+NAGEL_台灣德迅國際運輸股份有限公司,2年以上,專科、大學、碩士,不拘
Account Manager (Sales),美商英特格有限公司台灣分公司_半導體零件商,3年以上,大學以上,不拘
Google Cloud Field Sales 業務開發－IT企業(14462),立樂高園股份有限公司,3年以上,大學以上,不拘
UGLY HALF 精釀啤酒_銷售經理 Top Sales,UGLY HALF 酉鬼啤酒_台灣谷季股份有限公司,3年以上,不拘,不拘
NB Channel Sales(新興市場),微星科技股份有限公司,3年以上,專科、大學、碩士,不拘
NB Channel Sales(Senior BDM/Emerging Market),微星科技股份有限公司,5年以上,大學、碩士,不拘
NB Channel Sales(可派駐印度),微星科技股份有限公司,3年以上,專科、大學、碩士,不拘
"Grid Automation Sales Manager – Taiwan, Hong-Kong, Macau(English cv/resume is required)",ABB Power Grids_艾波比電網股份有限公司,10年以上,大學以上,不拘
日本區通路開發業務 (Channel Sales-Japan),酷碼科技股份有限公司,3年以上,專科以上,不拘
Kafnu Taipei - Sales Account Manager,新加坡商凱富諾有限公司台北分公司,5年以上,大學以上,不拘
業務主管- Sales Manager (歐美產線機會),卓恩管理顧問有限公司,不拘,大學、碩士,不拘
Sales Manager (EMEA / Nordic),ASUSTOR_華芸科技股份有限公司,1年以上,專科以上,不拘
Pre-Sales Specialist/Manager,廣達集團_雲達科技股份有限公司,5年以上,大學以上,不拘
Business Development Executive/Manager – Sea Logistics of Sales and Marketing (高雄),KUEHNE+NAGEL_台灣德迅國際運輸股份有限公司,2年以上,專科、大學、碩士,不拘
 Sales & Marketing & Customer service,韓商韓松化學股份有限公司,不拘,大學、碩士,不拘
OEM業二-Senior Sales Representative,世洋科技股份有限公司,不拘,專科以上,不拘
Sales Manager/ Account Manager,新加坡商安富利股份有限公司台灣分公司,6年以上,專科以上,不拘
Overseas Sales (Southern Asia),凌航科技股份有限公司,不拘,大學以上,不拘
Business Development Executive/Manager – Sea Logistics of Sales and Marketing (台北),KUEHNE+NAGEL_台灣德迅國際運輸股份有限公司,2年以上,專科、大學、碩士,不拘
[智慧基礎建設]業務工程師 Sales Engineer,SIEMENS_西門子股份有限公司,5年以上,專科、大學,不拘
